icao24;registration;manufacturericao;manufacturername;model;typecode;serialnumber;linenumber;icaoaircrafttype;operator;operatorcallsign;operatoricao;operatoriata;owner;testreg;registered;reguntil;status;built;firstflightdate;seatconfiguration;engines;modes;adsb;acars;notes;categoryDescription
44f421;CH-01;ROCKWELL;Lockheed;C-130H Hercules;C130;4455;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f423;CH-03;ROCKWELL;Lockheed;C-130H Hercules;C130;4461;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f424;CH-04;ROCKWELL;Lockheed;C-130H Hercules;C130;4467;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f425;CH-05;ROCKWELL;Lockheed;C-130H Hercules;C130;4470;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f427;CH-07;ROCKWELL;Lockheed;C-130H Hercules;C130;4476;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f428;CH-08;ROCKWELL;Lockheed;C-130H Hercules;C130;4478;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f429;CH-09;ROCKWELL;Lockheed;C-130H Hercules;C130;4479;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42a;CH-10;ROCKWELL;Lockheed;C-130H Hercules;C130;4481;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42b;CH-11;ROCKWELL;Lockheed;C-130H Hercules;C130;4482;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42c;CH-12;ROCKWELL;Lockheed;C-130H Hercules;C130;4483;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
44f42e;CH-13;ROCKWELL;Lockheed;C-130E Hercules;C130;4047;;L4T;;;;;Belgian Air Component;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee099;D-0002;;Rolladen-schneider;LS7 WL;GLID;7098;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09a;D-0003;;Let;L-13 Blanik;GLID;026639;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee09b;D-0004;;Schleicher;ASW 27;GLID;27090;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09c;D-0005;;Scheibe;Zugvogel IIIA;GLID;1061;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09d;D-0006;;Schleicher;Ka 6 E Rhonsegler;GLID;4132;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09e;D-0007;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2;NIMB;83;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee09f;D-0008;;Scheibe;Leistung-Spatz 55;GLID;622;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a0;D-0009;;Schleicher;ASK 21;GLID;21463;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a1;D-0010;;Rolladen-schneider;LS6 a;GLID;6042;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a2;D-0011;;Schleicher;ASW 19;GLID;19011;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a3;D-0012;;Marganski;MDM-1 Fox;GLID;217;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a4;D-0013;;Schleicher;K 8 B;GLID;AB8759;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a7;D-0016;;Schempp-hirth;Discus CS;GLID;233CS;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee0a8;D-0017;;Scheibe;Zugvogel IVA;GLID;1508;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0a9;D-0018;;Schempp-hirth;Duo Discus;GLID;86;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0ab;D-0020;;Glasflugel;H201 Standard Libelle;GLID;11;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ac;D-0021;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2 C;NIMB;224;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ad;D-0022;;Akaflieg Hannover;AFH 22;GLID;V-1;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ae;D-0023;;Glaser-dirks;DG-100G Elan;GLID;E119-G88;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b0;D-0025;;Schleicher;ASK 13;GLID;13190;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b1;D-0026;;Glasflugel;H303 Mosquito;GLID;99;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b2;D-0027;;Schleicher;ASK 13;GLID;13152;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b3;D-0028;;Glaser-dirks;DG-300 Elan;GLID;3E-268;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b4;D-0029;;Schempp-hirth/grob;Standard Cirrus CS11;GLID;496G;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b5;D-0030;DG FLUGZEUGBAU;Dg Flugzeugbau;DG-1000S;DG1T;10-21S21;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b7;D-0032;;Rolladen-schneider;LS8 18;GLID;8291;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0b8;D-0033;;Glaser-dirks;DG-100 Elan;GLID;E33;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ba;D-0035;;Schleicher;K 8 B;GLID;8666;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0bb;D-0036;;Schneider;Grunau Baby (108-49) IIB;GLID;AHAB2;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0bc;D-0037;;Glasflugel;H401 Kestrel;GLID;119;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0bf;D-0040;;Schleicher;K 8 B;GLID;8850/AB;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c1;D-0042;;Schneider;SG-38 Schulgleiter (108-14);GLID;1;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c2;D-0043;;Glaser-dirks;DG-300 Elan;GLID;3E-138;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c3;D-0044;;Glaser-dirks;DG-100G Elan;GLID;E219-G185;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c4;D-0045;;Rolladen-schneider;LS6 c;GLID;6278;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee0c5;D-0046;;Schleicher;ASW 12;GLID;12005;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c6;D-0047;;Schleicher;K 7 Rhonadler;GLID;269;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee0c7;D-0048;;Pzl-bielsko;SZD-51-1 Junior;GLID;B-1851;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c8;D-0049;;Glasflugel;H301 B Libelle;GLID;88;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0c9;D-0050;;Rolladen-schneider;LS8 a;GLID;8231;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ca;D-0051;;Schempp-hirth;Discus 2 b;GLID;176;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cb;D-0052;;Rolladen-schneider;LS4;GLID;4605;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cd;D-0054;;Scheibe;SF-27 B;GLID;6201;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ce;D-0055;SCHEMPP-HIRTH;Schempp-hirth;Nimbus 2 C;NIMB;227;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0cf;D-0056;;Schleicher;K 8 B;GLID;789;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d0;D-0057;;Rolladen-schneider;LS4 a;GLID;4677;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d1;D-0058;;Schleicher;Ka 6 E Rhonsegler;GLID;4180;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d2;D-0059;;Schleicher;Ka 6 E Rhonsegler;GLID;4213;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d3;D-0060;;Pzl-swidnik;PW-5 Smyk;GLID;17.06.018;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d4;D-0061;;Rolladen-schneider;LS8 18;GLID;8077;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d5;D-0062;;Scheibe;Bergfalke III;GLID;5628;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d6;D-0063;;Lehtovaara;PIK-16 C Vasama;GLID;12;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d7;D-0064;;Akaflieg Braunschweig;SB-5 B Sperber;GLID;5045/A;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d8;D-0065;;Schneider;Grunau Baby (108-49) IIB;GLID;94;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0d9;D-0066;;Scheibe;SF-27 A Zugvogel V;GLID;6108;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0da;D-0067;;Grob;G 102 Astir CS;G102;1346;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0dc;D-0069;;Schleicher;ASK 13;GLID;13088;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0dd;D-0070;;Rolladen-schneider;LS1 0;GLID;4;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0de;D-0071;;Glaser-dirks;DG-300 Elan;GLID;3E-326;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0df;D-0072;;Schleicher;Ka 6 E Rhonsegler;GLID;4214;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e0;D-0073;;Let;L-13 Blanik;GLID;173209;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e1;D-0074;;Lange;E1 Antares 18S;GLID;30S01;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e2;D-0075;;Schleicher;Ka 6 E Rhonsegler;GLID;4216;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e3;D-0076;;Schempp-hirth;Goppingen Go 3 Minimoa;GLID;AB-001M;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e4;D-0077;;Schleicher;K 8 B;GLID;8745;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e6;D-0079;;Schleicher;Ka 6 E Rhonsegler;GLID;4232;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e7;D-0080;;Schleicher;ASK 13;GLID;13116;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e8;D-0081;;Schleicher;ASK 13;GLID;13122;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0e9;D-0082;;Glasflugel;H201 B Standard Libelle;GLID;14;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ea;D-0083;;Rolladen-schneider;LS3;GLID;3036;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ec;D-0085;;Glasflugel;H201 B Standard Libelle;GLID;220;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ed;D-0086;;Schleicher;Ka 6 E Rhonsegler;GLID;4233;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ee;D-0087;;Glaser-dirks;DG-100;GLID;14;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ef;D-0088;;Bolkow;Phoebus C;GLID;845;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f1;D-0090;;Rolladen-schneider;LS8 18;GLID;8439;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f3;D-0092;;Schleicher;Ka 6 E Rhonsegler;GLID;4238;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f4;D-0093;;Schleicher;K 8 B;GLID;8669;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f5;D-0094;;Schempp-hirth;Discus b;GLID;446;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f6;D-0095;;Schleicher;ASK 13;GLID;13126;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f7;D-0096;;Schleicher;ASK 13;GLID;13129;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f8;D-0097;;Schleicher;ASK 13;GLID;13133;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0f9;D-0098;;Schleicher;Ka 6 E Rhonsegler;GLID;4253;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0fa;D-0099;;Schleicher;Ka 6 E Rhonsegler;GLID;4254;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0fb;D-0100;;Schleicher;K 8 B;GLID;8127;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0fc;D-0101;;Schempp-hirth;Cirrus;GLID;30;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0fd;D-0102;;Schleicher;K 8 B;GLID;8668;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0fe;D-0103;;Schleicher;K 8 B;GLID;8671;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee0ff;D-0104;;Schempp-hirth;Discus CS;GLID;045CS;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee100;D-0105;;Schempp-hirth;Standard Cirrus;GLID;43;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee101;D-0106;;Grob;G 102S Standard Astir II;G102;5044S;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee102;D-0107;;Glasflugel;304 Wasp;GLID;211;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3ee103;D-0108;;Schempp-hirth;Discus CS;GLID;059CS;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee104;D-0109;;Rolladen-schneider;LS8 a;GLID;8105;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee105;D-0110;;Schleicher;K 8 B;GLID;8327;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee106;D-0111;;Glasflugel;H401 Kestrel;GLID;3;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee108;D-0113;;Schleicher;Ka 6 E Rhonsegler;GLID;4154;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee109;D-0114;;Glasflugel;H201 B Standard Libelle;GLID;211;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee10b;D-0116;;Schleicher;ASW 20 L;GLID;20243;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee10c;D-0117;;S.n.c.a.n.;Nord 1300;GLID;117;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee10d;D-0118;;Glaser-dirks;DG-300 Elan;GLID;3E-417;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee10e;D-0119;;Rolladen-schneider;LS4;GLID;4544;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee10f;D-0120;;Schleicher;ASK 13;GLID;13681AB;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee110;D-0121;;Rolladen-schneider;LS1 0;GLID;6;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee112;D-0123;;Bolkow;Phoebus C;GLID;870;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee113;D-0124;;Schleicher;ASW 20 CL;GLID;20843;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee114;D-0125;;Pilatus;B4-PC11 AF;GLID;299;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee115;D-0126;;Schleicher;K 8 B;GLID;219/61;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee117;D-0128;;Schleicher;ASW 28;GLID;28052;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee118;D-0129;;Schleicher;K 8 B;GLID;8115/SH;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee119;D-0130;;Bolkow;Phoebus B-1;GLID;722;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee11a;D-0131;;Glaser-dirks;DG-300 Club Elan;GLID;3E-351C40;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee11b;D-0132;;Akaflieg Braunschweig;SB-5 E Sperber;GLID;AB5004;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee11e;D-0135;;Bolkow;Phoebus C;GLID;860;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee11f;D-0136;;Rolladen-schneider;LS1 0;GLID;11;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee120;D-0137;;Rolladen-schneider;LS4;GLID;4607;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee121;D-0138;;Rolladen-schneider;LS3 a;GLID;3459;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee122;D-0139;;Glasflugel;H201 B Standard Libelle;GLID;222;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee123;D-0140;;Glasflugel;H201 B Standard Libelle;GLID;236;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Glider / sailplane
3ee124;D-0141;;Glasflugel;H201 B Standard Libelle;GLID;237;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee125;D-0142;;Rolladen-schneider;LS1 b;GLID;25;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee126;D-0143;;Schleicher;Ka 6 E Rhonsegler;GLID;4256;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee127;D-0144;;Schleicher;ASK 13;GLID;13096;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee128;D-0145;;Schleicher;ASK 13;GLID;13134;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee129;D-0146;;Schempp-hirth;Discus CS;GLID;064CS;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee12a;D-0147;;Grob;G 102 Astir CS Jeans;G102;2106;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee12c;D-0149;;Schleicher;ASK 13;GLID;13138;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee12d;D-0150;;Wolf Hirth;Lo.150;GLID;AB.1;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee12e;D-0151;;Schleicher;ASK 13;GLID;13141;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee12f;D-0152;;Glaser-dirks;DG-200 17;GLID;2-136/1734;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee132;D-0155;;Bolkow;Phoebus C;GLID;868;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee133;D-0156;;Rolladen-schneider;LS1 c;GLID;10;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee134;D-0157;;Rolladen-schneider;LS4 b;GLID;4761;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee135;D-0158;;Rolladen-schneider;LS4;GLID;4378;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee136;D-0159;;Glasflugel;304 Wasp;GLID;212;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee137;D-0160;;Schleicher;Ka 6 CR Rhonsegler;GLID;204;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee138;D-0161;;Schleicher;ASW 15;GLID;15004;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee139;D-0162;;Schleicher;K 8 B;GLID;8786;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee13a;D-0163;;Schleicher;Ka 6 E Rhonsegler;GLID;4266;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee13b;D-0164;;Schleicher;Ka 6 E Rhonsegler;GLID;4274;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee13c;D-0165;;Rolladen-schneider;LS4;GLID;4608;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee13d;D-0166;GLASER-DIRKS;Glaser-dirks;DG-505 Elan Orion;DG50;5E169X24;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee13e;D-0167;;Schleicher;Ka 6 E Rhonsegler;GLID;4269;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee142;D-0171;;Rolladen-schneider;LS4;GLID;4609;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee144;D-0173;;Rolladen-schneider;LS4;GLID;4610;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee145;D-0174;;Glasflugel;H201 B Standard Libelle;GLID;185;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee146;D-0175;;Bolkow;Phoebus C;GLID;878;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee147;D-0176;;Glasflugel;H201 B Standard Libelle;GLID;51;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee148;D-0177;;Schempp-hirth;Standard Austria SH-1;GLID;74;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee149;D-0178;;Let;L-23 Super Blanik;GLID;049201;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee14a;D-0179;;Schempp-hirth;Duo Discus;GLID;28;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee14b;D-0180;;Rolladen-schneider;LS1 0;GLID;19;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee14c;D-0181;;Rolladen-schneider;LS1 0;GLID;18;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee14d;D-0182;;Rolladen-schneider;LS1 0;GLID;9;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee14e;D-0183;;Schempp-hirth;Janus C;GLID;183;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee150;D-0185;;Scheibe;SF-27 A Zugvogel V;GLID;6109;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee152;D-0187;;Schempp-hirth;Cirrus;GLID;56;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee153;D-0188;;Schempp-hirth;Mini-Nimbus;GLID;6;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee155;D-0190;;Schempp-hirth;Standard Cirrus;GLID;128;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee156;D-0191;;Rolladen-schneider;LS4;GLID;4583;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee157;D-0192;;Grob;G 102C Club Astir IIIB;G102;5568CB;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee158;D-0193;;Glaser-dirks;DG-300 Club Elan;GLID;3E-427C72;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee159;D-0194;;Akaflieg Braunschweig;SB-5 B Sperber;GLID;5048/A;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15a;D-0195;;Schleicher;Ka 6 E Rhonsegler;GLID;4281;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15b;D-0196;;Schleicher;Ka 6 E Rhonsegler;GLID;4265;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15c;D-0197;;Schleicher;ASW 24;GLID;24205;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15d;D-0198;;Schleicher;Ka 6 E Rhonsegler;GLID;4273;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15e;D-0199;;Schleicher;ASK 13;GLID;13157;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee15f;D-0200;;Schleicher;ASW 15;GLID;15179;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee160;D-0201;;Schleicher;Ka 6 E Rhonsegler;GLID;4271;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee161;D-0202;;Schleicher;K 8 B;GLID;8779;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee162;D-0203;;Allstar Pzl;SZD-55-1 Promyk;GLID;551.A.05.003;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee163;D-0204;;Glasflugel;H401 Kestrel;GLID;52;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3ee164;D-0205;;Rolladen-schneider;LS6 c;GLID;6311;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
