icao24;registration;manufacturericao;manufacturername;model;typecode;serialnumber;linenumber;icaoaircrafttype;operator;operatorcallsign;operatoricao;operatoriata;owner;testreg;registered;reguntil;status;built;firstflightdate;seatconfiguration;engines;modes;adsb;acars;notes;categoryDescription
3d059b;D-EAJJ;SOCATA;Morane-saulnier;Rallye MS.892A Commodore 150;RALL;10531;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d059e;D-EAJM;REIMS;Cessna;R182 Skylane RG;C82R;R18200243;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05a1;D-EAJP;CESSNA;Cessna;TU206G Turbo Stationair 6;C206;TU20604465;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05a3;D-EAJR;ROBIN;Robin;DR.300 180R Remorqueur;DR30;815;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05a4;D-EAJS;EXTRA;Extra;EA.400;E400;11;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05a5;D-EAJT;REIMS;Reims/cessna;F172P;C172;2184;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05a6;D-EAJU;;Amateur Built;JU 87 Scale Replica;ZZZZ;;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05a8;D-EAJW;SOCATA;Socata;TB10 Tobago;TOBA;147;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05ab;D-EAJZ;ROBIN;Robin;DR.400 140B Dauphin 4;DR40;2671;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ac;D-EAKA;CIRRUS;Cirrus Design;Cirrus Design SR22T;S22T;0015;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ad;D-EAKB;REIMS;Reims/cessna;F150M;C150;1158;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Small (15500 to 75000 lbs)
3d05ae;D-EAKC;SOCATA;Socata;SOCATA TB10 Tobago;TOBA;1160;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05af;D-EAKD;SOCATA;Socata;TB10 Tobago;TOBA;1161;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b0;D-EAKE;REIMS;Reims/cessna;F177RG Cardinal RG;C77R;0124;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05b1;D-EAKF;SOCATA;Socata;Rallye MS.893A Commodore 180;RALL;10813;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b2;D-EAKG;PIPER;Piper;Piper PA-28 236 Dakota;P28B;28-7911115;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b4;D-EAKI;REIMS;Cessna;Cessna 172R Skyhawk;C172;17280117;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b5;D-EAKJ;SOCATA;Socata;TB10 Tobago;TOBA;1162;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05b6;D-EAKK;PIPER;Piper;PA-28 181 Archer II;P28A;28-7990417;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b7;D-EAKL;ROBIN;Robin;Robin DR.400 180 Remo;DR40;2228;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05b8;D-EAKM;SAN;S.a.n.;Jodel DR.1050;DR10;139;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05ba;D-EAKO;PIPER;Piper;PA-28R T-201T Turbo Arrow IV;P28T;28R-8131146;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05bb;D-EAKP;PIPER;Piper;PA-28 181 Archer II;P28A;28-8590048;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05bc;D-EAKQ;SYMPHONY;Omf;Symphony 100-160;SYMP;0005;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05bd;D-EAKR;SYMPHONY;Omf;Symphony 100-160;SYMP;0006;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05be;D-EAKS;REIMS;Cessna;Cessna 172S Skyhawk SP;C172;172S10094;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05bf;D-EAKT;ROBIN;Robin;DR.400 180R Remorqueur;DR40;900;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05c0;D-EAKU;PIPER;Piper;Piper PA-28 181 Archer II;P28A;28-8590082;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05c1;D-EAKV;SOCATA;Socata;TB10 Tobago;TOBA;1164;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Small (15500 to 75000 lbs)
3d05c2;D-EAKW;VAN'S;Vans;RV-7;RV7;72897;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05c3;D-EAKX;SYMPHONY;Omf;Symphony 100-160;SYMP;0008;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Small (15500 to 75000 lbs)
3d05c4;D-EAKY;REIMS;Reims/cessna;F177RG Cardinal RG;C77R;0035;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05c5;D-EAKZ;SOCATA;Socata;TB10 Tobago;TOBA;1163;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05c7;D-EALB;CHAMPION;Bellanca;Citabria 7ECA;CH7A;1182-77;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05c8;D-EALC;PIPER;Piper;Piper PA-28 180 Cherokee G;P28A;28-7205311;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05c9;D-EALD;SOCATA;Socata;ST10 Diplomate;ST10;128;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ca;D-EALE;REIMS;Reims/cessna;F172F;C172;0178;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05cb;D-EALF;ROBIN;Robin;DR.400 180 Regent;DR40;976;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05cc;D-EALG;LAKE;Lake;Buccaneer LA-4-200;LA4;558;;A1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05cd;D-EALH;PIPER;Piper;PA-28 181 Archer II;P28A;28-8090276;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05ce;D-EALI;MOONEY;Mooney;M.20F Executive 21;M20P;680123;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05d1;D-EALL;PIPER;Piper;Piper PA-46-500TP;P46T;4697050;;L1T;Corporate Airlink;CORPORATE;COO;;Corporate;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05d2;D-EALM;WACO OHIO;Waco Classic Aircraft;Waco YMF-5C;WACF;F5C-8-123;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05d5;D-EALP;REIMS;Reims/cessna;FRA150M Aerobat;C150;0298;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05d7;D-EALR;REIMS;Reims/cessna;FR172J Rocket;C172;0564;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05d8;D-EALS;REIMS;Reims/cessna;Reims/Cessna FR172J Rocket;C172;0577;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05d9;D-EALT;REIMS;Cessna;172S Skyhawk SP;C172;172S11046;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05dd;D-EALX;REIMS;Reims/cessna;F150L;C150;0766;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05de;D-EALY;ROCKWELL;Commander Aircraft;Commander 114 B;AC11;14585;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05df;D-EALZ;CESSNA;Cessna;P206D Super Skylane;C206;P206-0603;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05e0;D-EAMA;FUJI;Fuji;FA-200 160 Aero Subaru;SUBA;73;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e1;D-EAMB;MALMO;Bolkow;Junior Bo.208C;JUNR;597;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e2;D-EAMC;;Dallach;Fascination D4 E-BK/S;ULAC;EB022;;;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e5;D-EAMF;FUJI;Fuji;FA-200 180 Aero Subaru;SUBA;81;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e6;D-EAMG;FUJI;Fuji;FA-200 180 Aero Subaru;SUBA;105;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e7;D-EAMH;SOCATA;Socata;TB10 Tobago;TOBA;153;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05e8;D-EAMI;FUJI;Fuji;FA-200 160 Aero Subaru;SUBA;151;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;No ADS-B Emitter Category Information
3d05ea;D-EAMK;CESSNA;Cessna;Cessna T210F Turbo-System Centurion;C210;T210-0059;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05eb;D-EAML;CESSNA;Cessna;Cessna T206H Turbo Stationair;C206;T20608348;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05ec;D-EAMM;WASSMER;Wassmer;Europa WA.52;WA50;88;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ed;D-EAMN;PIPER;Piper;Piper PA-28 181 Archer II;P28A;28-7890515;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ee;D-EAMO;FUJI;Fuji;FA-200 180 Aero Subaru;SUBA;148;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05ef;D-EAMP;REIMS;Reims/cessna;F150J;C150;0491;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
3d05f1;D-EAMR;WREN;Cessna;182J Skylane;C182;18257493;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05f2;D-EAMS;PIPER;Piper;PA-28 181 Archer II;P28A;28-8690046;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05f3;D-EAMT;MOONEY;Mooney;M.20J Model 201;M20P;24-3084;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;
3d05f5;D-EAMV;FUJI;Fuji;FA-200 160 Aero Subaru;SUBA;177;;L1P;;;;;Private;;;;;;;;;FALSCH;FALSCH;FALSCH;;Light (< 15500 lbs)
